county,states,statefips,pci,household_income,family_income,population,num_of_households
Carlton,Minnesota,27,24434,53016,63548,35398,13789
Fergus,Montana,30,24429,38344,52473,11517,4924
Polk,Oregon,41,24426,52808,62802,75930,28239
Des Moines,Iowa,19,24408,42451,53237,40301,16993
Faulkner,Arkansas,5,24401,50314,65155,115928,42413
Jackson,Oregon,41,24378,44005,53254,205117,83140
Vanderburgh,Indiana,18,24378,43540,58352,180233,73963
Antrim,Michigan,26,24370,45362,53125,23504,9731
Pepin,Wisconsin,55,24367,47701,58770,7417,3085
Coos,New Hampshire,33,24367,41985,53813,32520,14531
St. Clair,Michigan,26,24357,48066,58697,161865,64379
Calcasieu,Louisiana,22,24355,43499,55484,193528,73726
Colorado County,Texas,48,24348,45146,55408,20776,8079
Morgan,Illinois,17,24337,46809,62224,35424,13926
Marshall,West Virginia,54,24329,40681,51779,32840,14042
Jack,Texas,48,24325,49038,64836,9012,2972
Sioux,Iowa,19,24324,57227,67067,34050,11623
Boise,Idaho,16,24324,41056,55586,6944,2994
Sherman,Oregon,41,24314,42639,57115,1865,827
Clark,Indiana,18,24312,50496,60754,111221,42502
Otsego,Michigan,26,24312,47584,56823,24127,9818
Bullitt,Kentucky,21,24308,54836,62514,75250,27874
Caddo,Louisiana,22,24308,41053,52823,255551,98554
Lavaca,Texas,48,24299,44149,54765,19351,7711
Jasper,Indiana,18,24297,57500,67259,33398,11924
Clark,Illinois,17,24296,47405,55434,16284,6568
Milwaukee,Wisconsin,55,24295,43193,55164,950527,379637
Ellis,Kansas,20,24291,43085,63712,28746,11824
Yamhill,Oregon,41,24290,54535,62284,99802,34138
Howard,Iowa,19,24286,46429,55582,9560,3884
Black Hawk,Iowa,19,24273,45747,61495,131468,52276
Louisa,Iowa,19,24272,50583,57545,11348,4381
Broadwater,Montana,30,24270,45932,49362,5666,2421
Wells,Indiana,18,24269,48136,57459,27707,10904
Guaynabo,Puerto Rico,72,24264,34060,43081,97924,32913
Craven,North Carolina,37,24260,47141,55689,104041,39931
Judith Basin,Montana,30,24260,41932,55089,2043,879
Rich,Utah,49,24258,50000,65250,2279,664
Gibson,Indiana,18,24258,49329,61861,33514,13094
Nez Perce,Idaho,16,24257,46503,58875,39458,16019
Bexar,Texas,48,24253,50112,58289,1753238,604698
Ector,Texas,48,24247,51466,59067,141542,49962
Franklin,Mississippi,28,24234,32372,39234,8013,3311
Lane,Oregon,41,24224,42931,56605,353382,144912
Platte,Nebraska,31,24219,51213,60814,32350,12477
Adams,Illinois,17,24217,45073,58992,67152,26912
Marshall,South Dakota,46,24205,46597,64375,4657,1683
Webster,Iowa,19,24203,41624,57137,37626,15458
Wabaunsee,Kansas,20,24199,54694,65417,7050,2693
Adams,Colorado,8,24195,56270,64611,452030,152803
Wyoming County,Pennsylvania,42,24195,48482,58479,28177,10992
Erie,Pennsylvania,42,24189,45202,58451,280518,109675
Lake,Florida,12,24183,45035,54237,300926,117250
Warren,Pennsylvania,42,24179,43764,56410,41429,17257
