county,states,statefips,pci,household_income,family_income,population,num_of_households
Oxford,Maine,23,21441,40674,49920,57657,22890
Lynchburg City,Virginia,51,21440,38138,50676,76467,28556
Tallapoosa,Alabama,1,21434,39130,46839,41428,16373
Harrison,Kentucky,21,21424,36048,51177,18693,7179
Webster,Nebraska,31,21423,41045,49968,3762,1548
Daviess,Indiana,18,21416,47165,56684,31928,11160
Pine,Minnesota,27,21413,43928,53869,29449,11758
Hernando,Florida,12,21411,41024,48461,173119,70210
Geary,Kansas,20,21408,46908,51712,35583,12532
Mitchell,North Carolina,37,21404,37680,46432,15453,6455
Franklin,North Carolina,37,21399,41696,51353,61154,23313
Marion,Tennessee,47,21399,41268,49631,28214,11226
Vernon,Louisiana,22,21396,46572,51718,52510,18148
Yoakum,Texas,48,21389,49340,55545,7998,2654
Lafayette,Mississippi,28,21388,43328,59882,48905,15743
Colfax,New Mexico,35,21387,37734,47100,13485,5574
Barrow,Georgia,13,21379,53274,58892,69933,23413
Hill,Montana,30,21376,43726,55617,16301,6139
Crittenden,Kentucky,21,21375,34261,48083,9283,3794
Washington County,Indiana,18,21370,41986,50107,28064,10631
Van Buren,Iowa,19,21368,43181,54591,7517,3023
Lawrence,Ohio,39,21365,41552,53015,62309,24009
Tazewell,Virginia,51,21358,35693,45080,44664,18294
Williams,Ohio,39,21350,43089,52347,37623,14947
Lauderdale,Mississippi,28,21346,36203,46954,80337,29809
Pike,Illinois,17,21344,39845,49542,16337,6708
Crenshaw,Alabama,1,21343,36275,48903,13955,5601
Garrard,Kentucky,21,21341,44652,55105,16896,6302
St. John the Baptist,Louisiana,22,21335,50635,56540,45139,15440
Baxter,Arkansas,5,21334,35343,45499,41281,18155
Taos,New Mexico,35,21333,32637,44541,32899,13338
San Bernardino,California,6,21332,54090,59294,2056915,603879
Montgomery,Kansas,20,21332,39669,52583,34869,14000
Bannock,Idaho,16,21327,43534,57079,83091,30271
Owen,Indiana,18,21318,43950,51503,21467,8552
Gilmer,Georgia,13,21317,39140,44624,28308,11513
St. Mary,Louisiana,22,21313,41571,48754,54078,20092
Pleasants,West Virginia,54,21312,41859,57604,7602,2747
Stokes,North Carolina,37,21311,42703,50910,47063,18969
Ross,Ohio,39,21310,43264,52836,77802,28308
Jefferson,Pennsylvania,42,21300,41262,51451,45015,18503
Jasper,Georgia,13,21297,42192,49194,13748,5132
Person,North Carolina,37,21292,42317,49521,39361,15320
Polk,Florida,12,21285,43113,50944,610295,219540
Garvin,Oklahoma,40,21285,38245,47330,27410,10294
Clearfield,Pennsylvania,42,21273,41030,51031,81536,32192
Tangipahoa,Louisiana,22,21273,40654,53101,122665,44418
Hamblen,Tennessee,47,21261,39596,50162,62721,24315
San Juan,New Mexico,35,21260,48196,57715,128476,40945
Curry,New Mexico,35,21259,39871,50963,49302,18027
Pendleton,West Virginia,54,21253,34175,47745,7603,3274
Milam,Texas,48,21248,37391,49860,24503,9330
Chautauqua,Kansas,20,21245,39529,45221,3614,1565
Brown,Texas,48,21236,39776,48865,37942,13405
Carroll,Georgia,13,21227,46147,54942,111160,39494
Fulton,Indiana,18,21226,40168,47724,20698,8221
Vermilion,Illinois,17,21225,41400,51986,81147,31575
Pawnee,Oklahoma,40,21220,44375,56131,16592,6341
New Madrid,Missouri,29,21215,35793,45048,18695,7423
Allegany,Maryland,24,21211,39293,54022,74394,28433
Dyer,Tennessee,47,21208,38953,47037,38239,15100
Whitman,Washington,53,21208,36257,63713,45512,16624
Brown,Ohio,39,21206,44341,51674,44604,16380
Wabash,Indiana,18,21201,45286,52204,32650,12703
Terry,Texas,48,21201,37679,45765,12644,4067
Modoc,California,6,21200,36212,46268,9468,3983
Vigo,Indiana,18,21192,40692,52203,108084,39597
Gates,North Carolina,37,21187,46592,53577,11982,4459
Jefferson,Florida,12,21184,44170,51029,14469,5347
Pickens,South Carolina,45,21182,41788,54279,119483,43971
Hill,Texas,48,21182,40769,52184,35051,13395
Iberville,Louisiana,22,21177,45368,54191,33360,11192
Lewis,West Virginia,54,21175,36199,44653,16411,6451
Phelps,Missouri,29,21173,41964,54015,44969,16699
Gallia,Ohio,39,21168,39226,48918,30859,11576
Neosho,Kansas,20,21163,42071,49915,16477,6508
Smith,Tennessee,47,21153,42383,52301,19134,7263
Cumberland,Tennessee,47,21141,37188,43611,56589,23764
Dawes,Nebraska,31,21137,40359,62952,9172,3709
Jefferson Davis,Louisiana,22,21132,41622,51772,31498,11634
Lucas,Iowa,19,21126,43288,55547,8840,3734
Tucker,West Virginia,54,21126,37635,49677,7061,3050
Shelby,Texas,48,21126,37081,44129,25677,9781
Eastland,Texas,48,21125,34914,44271,18465,6872
Jasper,Missouri,29,21124,40399,49154,116803,44849
Ashland,Wisconsin,55,21115,38550,47587,16068,6775
Wayne,Indiana,18,21114,38350,48417,68557,28185
Elkhart,Indiana,18,21109,45693,53154,198662,70130
Delaware County,Oklahoma,40,21109,36588,45708,41394,16589
Rockingham,North Carolina,37,21102,38567,47715,92974,37693
Cottle,Texas,48,21089,34639,39241,1546,709
Onslow,North Carolina,37,21084,45450,49819,179935,60071
Grenada,Mississippi,28,21084,34129,48301,21745,7941
Greenwood,South Carolina,45,21053,36540,47807,69727,27004
Knox,Indiana,18,21047,42119,53840,38266,14738
Bates,Missouri,29,21047,38579,50469,16878,6832
Brown,Kansas,20,21046,39968,52456,9969,4104
Comanche,Kansas,20,21041,39375,55431,1905,791
Hocking,Ohio,39,21037,42089,52837,29268,11478
Harrison,Ohio,39,21029,39002,48739,15766,6395
Morgan,Ohio,39,21027,37865,44902,15008,6204
Bartow,Georgia,13,21022,47197,56223,100382,34567
Live Oak,Texas,48,21016,42829,49681,11603,3882
Linn,Missouri,29,21015,38250,47327,12592,4854
Jackson,North Carolina,37,21014,36951,48568,40362,15609
Livingston,Missouri,29,21011,40116,54663,15051,5660
Rusk,Wisconsin,55,21004,38658,47825,14571,6430
Lancaster,South Carolina,45,21003,42217,51067,77946,28956
Butte,Idaho,16,20995,41131,50000,2786,1022
Montgomery,Missouri,29,20991,40236,48314,12128,5091
Angelina,Texas,48,20982,41354,47396,87042,30668
Bibb,Georgia,13,20982,37550,49891,155524,56585
Allegany,New York,36,20978,42445,52112,48618,18786
Crawford,Kansas,20,20974,37378,50936,39182,15370
Wilson,North Carolina,37,20972,39204,47796,81365,31690
Lowndes,Mississippi,28,20951,37868,48662,59746,23178
Knox,Missouri,29,20946,34481,44073,4099,1724
Bon Homme,South Dakota,46,20941,40980,55508,7048,2501
Pottawatomie,Oklahoma,40,20937,42764,51656,70144,25658
Perry,Indiana,18,20934,47596,57732,19450,7411
Halifax,Virginia,51,20929,34659,45024,35938,14770
Bracken,Kentucky,21,20918,39196,55526,8472,3252
Rowan,North Carolina,37,20912,41495,50537,138265,52300
Pinal,Arizona,4,20910,50027,55282,379128,123733
Lumpkin,Georgia,13,20908,43775,56826,30428,10999
Obion,Tennessee,47,20900,39467,46784,31566,12462
Sequatchie,Tennessee,47,20899,36434,49238,14333,5616
Meade,Kentucky,21,20898,46756,50574,29028,10342
Edwards,Illinois,17,20898,39075,49290,6695,2728
Schoolcraft,Michigan,26,20892,35260,47557,8407,3590
Essex,Vermont,50,20887,35916,45000,6276,2774
Fayette,Pennsylvania,42,20884,39115,49664,136145,54363
Union,Indiana,18,20883,44161,57330,7420,2943
Crook,Oregon,41,20883,38795,48486,20894,8880
Richmond County,Virginia,51,20875,47083,68487,9140,2853
Payne,Oklahoma,40,20868,36812,56881,77897,30010
Walker,Georgia,13,20865,39963,50683,68481,26191
Harney,Oregon,41,20865,38113,42540,7314,3113
Pulaski,Missouri,29,20863,49820,56933,52795,15747
Esmeralda,Nevada,32,20862,30284,51500,979,479
Martin,Texas,48,20859,42607,49643,4956,1555
Delaware County,Indiana,18,20854,37474,51591,117575,46325
Taylor,West Virginia,54,20848,39536,48618,16906,6878
Ashe,North Carolina,37,20838,35951,47184,27180,11839
Smyth,Virginia,51,20837,37239,46776,31979,12650
Umatilla,Oregon,41,20836,48389,57434,76306,26744
Mohave,Arizona,4,20833,39200,47136,201680,80230
Calhoun,Alabama,1,20828,39962,50851,117714,45196
Scott,Missouri,29,20825,40651,48705,39216,15169
Washington County,Maine,23,20807,37236,45117,32621,14209
Natchitoches,Louisiana,22,20802,33953,47936,39403,14903
Mifflin,Pennsylvania,42,20794,40384,48222,46698,18711
Gila,Arizona,4,20792,39954,48958,53335,20601
Liberty,Georgia,13,20791,43832,48756,64899,23046
Muskingum,Ohio,39,20775,40524,50977,85872,33976
Utah County,Utah,49,20774,60196,65542,529262,143005
Tuscola,Michigan,26,20767,43039,51319,55172,21211
Cullman,Alabama,1,20760,38847,47103,80499,31342
Clark,Wisconsin,55,20754,43276,53025,34630,13036
Edgefield,South Carolina,45,20753,43861,53879,26698,9108
Graves,Kentucky,21,20746,38394,50693,37329,14419
Costilla,Colorado,8,20742,29145,41551,3552,1361
Huntingdon,Pennsylvania,42,20739,44183,54961,45874,17193
Marshall,Tennessee,47,20739,42291,51921,30818,11578
Hooker,Nebraska,31,20737,39327,42366,703,295
Okanogan,Washington,53,20735,40368,47539,41143,15980
Blount,Alabama,1,20730,44145,52996,57623,21108
Saguache,Colorado,8,20726,34600,41154,6200,2692
Phillips,Colorado,8,20720,43011,54583,4383,1668
Union,Arkansas,5,20718,37435,46952,41307,16596
Sanilac,Michigan,26,20713,40478,50648,42637,16329
Tyler,West Virginia,54,20704,39206,47671,9120,3712
Chilton,Alabama,1,20701,41250,52092,43744,16232
Walker,Alabama,1,20698,37566,46245,66622,25751
Briscoe,Texas,48,20697,36250,50560,1615,605
Morgan,Colorado,8,20680,43774,50202,28308,10446
Barton,Missouri,29,20678,40580,49713,12378,5065
McCulloch,Texas,48,20677,39194,50653,8302,2967
Pulaski,Kentucky,21,20667,34092,44363,63369,26108
Morrow,Oregon,41,20663,49940,52652,11218,3741
Hawkins,Tennessee,47,20662,37357,46066,56759,23348
Lawrence,Mississippi,28,20655,38393,49975,12734,4830
Elmore,Idaho,16,20646,42842,49157,26528,9555
Prairie,Montana,30,20644,38036,41667,1186,502
Lincoln,Georgia,13,20641,35625,42909,7894,3394
Carroll,Arkansas,5,20637,36584,46669,27531,11019
Miller,Arkansas,5,20636,41319,51790,43515,16950
Lincoln,Louisiana,22,20633,35769,51206,46926,16877
Marion,Ohio,39,20624,42572,53882,66323,24578
Newaygo,Michigan,26,20623,42571,50181,48280,18156
Cleveland,Arkansas,5,20622,39420,47576,8648,3346
Mason,West Virginia,54,20622,38411,44401,27271,10609
Muskegon,Michigan,26,20621,40979,50092,171153,65008
Jefferson,Tennessee,47,20619,39745,49107,51759,19797
Catron,New Mexico,35,20616,39826,45821,3683,1581
Mingo,West Virginia,54,20609,35955,47986,26460,10827
Fayette,Ohio,39,20603,37619,45108,28902,11514
Clay,South Dakota,46,20595,38173,61750,13953,5145
Grayson,Virginia,51,20591,30710,40245,15377,6618
Chippewa,Michigan,26,20589,41637,54513,38760,14605
Twin Falls,Idaho,16,20588,43886,50795,78067,28166
Lyman,South Dakota,46,20586,47596,61713,3804,1423
Mayes,Oklahoma,40,20585,42751,52749,41110,15896
Dickens,Texas,48,20578,38401,53558,2382,913
Wexford,Michigan,26,20573,40965,48790,32690,12473
St. Joseph,Michigan,26,20570,44051,52116,61111,22326
Cannon,Tennessee,47,20566,40689,48333,13790,5383
Rio Grande,Colorado,8,20557,38993,45347,11913,4722
Crawford,Georgia,13,20556,41586,48796,12607,4620
Brown,Illinois,17,20555,42194,64292,6904,2105
Allen,Kansas,20,20552,40554,50344,13318,5505
Pearl River,Mississippi,28,20549,42510,50330,55569,20556
Mora,New Mexico,35,20543,28481,41794,4788,1532
Guernsey,Ohio,39,20537,38841,48708,39935,15690
Stephens,Texas,48,20535,41728,50128,9493,3509
Parke,Indiana,18,20534,43870,52130,17210,5893
Gentry,Missouri,29,20534,39192,47750,6774,2800
Jackson,Illinois,17,20527,33479,52697,60055,23567
Coshocton,Ohio,39,20526,41274,48818,36862,14495
Richmond,Georgia,13,20526,37749,46486,201081,72281
Bryan,Oklahoma,40,20524,38897,47403,43079,16575
Randolph,North Carolina,37,20523,41208,50234,142042,54350
Putnam,Tennessee,47,20517,33709,47920,72702,28980
Greenlee,Arizona,4,20516,47992,48074,8679,3386
Grant,Indiana,18,20516,39747,49685,69671,26981
Stanly,North Carolina,37,20504,42518,54611,60529,23108
Crawford,Indiana,18,20504,39700,46628,10656,4237
Floyd,Georgia,13,20500,40821,50563,96147,34646
Oglethorpe,Georgia,13,20493,45729,57399,14730,5201
Trousdale,Tennessee,47,20491,43034,52030,7843,2899
Shoshone,Idaho,16,20487,38440,47768,12729,5714
Jackson,Alabama,1,20486,37634,47380,53171,20765
Scott,Indiana,18,20481,42898,48435,24035,8914
Miami,Indiana,18,20475,42023,53154,36624,13210
Cloud,Kansas,20,20467,38534,45688,9419,4022
Forest,Wisconsin,55,20462,39963,51207,9255,3739
Jim Wells,Texas,48,20452,40585,47588,41217,13728
Nicholas,Kentucky,21,20450,43081,48164,7085,2884
Henderson,Tennessee,47,20449,38280,47551,27934,10930
Pope,Illinois,17,20448,38371,45551,4383,1736
Hinds,Mississippi,28,20448,37626,47132,246300,87844
Alexander,North Carolina,37,20440,40637,50123,37071,14101
Tehama,California,6,20439,41924,49018,63241,23374
Montgomery,Kentucky,21,20436,37312,45434,26762,10168
Tate,Mississippi,28,20431,41494,51887,28625,9936
Newton,Texas,48,20431,37246,46690,14340,4865
Towns,Georgia,13,20419,36570,45707,10551,4261
Saline,Nebraska,31,20407,44109,53101,14348,5051
Gibson,Tennessee,47,20402,38343,47987,49664,19205
Washington County,Alabama,1,20395,42156,50376,17284,6620
Franklin,Illinois,17,20394,36273,48376,39470,16110
Covington,Alabama,1,20391,35869,43822,37847,15041
Mercer,West Virginia,54,20391,34842,44751,62261,25641
Hopewell City,Virginia,51,20388,37933,47214,22429,8766
Marshall,Alabama,1,20382,39526,48952,93699,34250
Washington County,Idaho,16,20380,37453,46690,10094,3938
Hillsdale,Michigan,26,20379,41759,49976,46463,17642
Wilbarger,Texas,48,20373,41658,45604,13371,5161
Pocahontas,West Virginia,54,20373,33779,43975,8723,3694
Hart,Georgia,13,20371,35615,47473,25348,10009
Gladwin,Michigan,26,20368,37626,45605,25664,10895
Butts,Georgia,13,20363,49754,61761,23563,7776
Scotland,Missouri,29,20363,39028,49328,4859,1915
Nacogdoches,Texas,48,20362,36777,50952,65085,23586
Coffee,Tennessee,47,20357,37618,50394,53011,21019
Sumter,South Carolina,45,20340,41366,48603,107645,39373
Fannin,Texas,48,20337,44355,52392,33819,11814
Webster,Kentucky,21,20337,41415,54448,13564,5150
Marion,Texas,48,20337,31967,46207,10439,4563
Smith,Mississippi,28,20334,34753,44849,16414,6269
Monroe,Missouri,29,20331,40657,53116,8798,3497
Gogebic,Michigan,26,20330,34252,46570,16179,7070
Wadena,Minnesota,27,20329,36928,50354,13772,5830
Navarro,Texas,48,20327,40795,47493,47883,17466
Caldwell,Kentucky,21,20327,37127,48478,12946,5232
Choctaw,Alabama,1,20323,33941,45876,13687,5518
Blackford,Indiana,18,20322,39225,45310,12665,5190
Elk,Kansas,20,20322,34089,43500,2782,1271
Jackson,South Dakota,46,20319,46224,51196,3116,1056
St. Bernard,Louisiana,22,20316,41353,45087,38850,13714
Harnett,North Carolina,37,20310,44625,54000,118793,40677
Wharton,Texas,48,20310,40411,51702,41185,14517
Henry,Indiana,18,20309,40679,51172,49275,18367
Grimes,Texas,48,20307,43994,56398,26663,8848
Missaukee,Michigan,26,20305,41061,47446,14940,5891
Kern,California,6,20295,48552,52618,848204,255271
Monroe,West Virginia,54,20294,41234,46707,13512,5648
Independence,Arkansas,5,20289,35026,44442,36786,14544
Gonzales,Texas,48,20288,39248,45275,19920,6638
Meagher,Montana,30,20288,38182,47604,1905,716
Clark,Missouri,29,20279,40204,50288,7035,2749
Polk,Tennessee,47,20274,39074,46076,16723,6740
Nome Census Area,Alaska,2,20271,49974,47078,9695,2797
Kalkaska,Michigan,26,20258,40140,48153,17142,7035
Yancey,North Carolina,37,20257,38579,45693,17724,7278
Fairfield,South Carolina,45,20257,36120,44842,23589,9408
Clearwater,Idaho,16,20256,40134,49267,8638,3545
Jasper,Texas,48,20254,40417,49398,35797,13095
Gem,Idaho,16,20250,44432,49872,16722,6323
Childress,Texas,48,20248,47532,58160,7057,2374
Pecos,Texas,48,20245,47019,58525,15590,4588
Blaine,Oklahoma,40,20242,44206,51519,10198,3815
Runnels,Texas,48,20235,37667,45546,10439,3818
Banks,Georgia,13,20231,41141,51561,18333,6772
Taney,Missouri,29,20231,38461,46764,52412,20698
Surry,North Carolina,37,20219,35641,44788,73486,29967
George,Mississippi,28,20217,43958,53793,22757,7842
Fresno,California,6,20208,45563,50884,939605,289811
Ionia,Michigan,26,20206,47892,54829,63909,22152
Etowah,Alabama,1,20204,38013,47259,104260,40217
Foard,Texas,48,20202,33750,44152,1133,491
Oktibbeha,Mississippi,28,20202,30987,55210,48198,18176
Geneva,Alabama,1,20199,35625,43481,26791,10945
Benewah,Idaho,16,20198,39049,41110,9186,3888
Atascosa,Texas,48,20193,47543,53016,45714,15095
Grant,West Virginia,54,20193,41368,51667,11869,4449
Lawrence,Alabama,1,20181,38551,48486,34009,13382
Duval,Texas,48,20181,34131,40917,11740,3901
Gilchrist,Florida,12,20180,38406,46202,16917,6240
Dakota,Nebraska,31,20179,47069,54721,20920,7309
Mercer,Missouri,29,20178,40272,49087,3749,1575
Adams,Indiana,18,20160,46695,56345,34424,12127
Covington City,Virginia,51,20160,34319,45742,5880,2545
Sterling,Texas,48,20157,50543,58214,1358,458
Bleckley,Georgia,13,20156,36073,46594,12961,3955
Carbon,Utah,49,20155,44724,59397,21227,7764
Unicoi,Tennessee,47,20152,32292,44029,18254,7601
Delta,Texas,48,20150,40375,52482,5237,1929
Dawson,Nebraska,31,20142,46078,53214,24256,8774
Emery,Utah,49,20137,52763,60948,10895,3598
Hardin,Tennessee,47,20127,33622,41225,26011,9934
Jennings,Indiana,18,20109,44128,51657,28324,10632
Darlington,South Carolina,45,20105,36323,46150,68346,26609
Jones,North Carolina,37,20105,36213,49041,10194,4151
Cass,Texas,48,20104,35598,47101,30344,11836
Cache,Utah,49,20074,49506,57220,114181,35375
Highlands,Florida,12,20072,35560,42866,98275,39931
Pike,Ohio,39,20071,42165,46476,28587,10859
Cleveland,North Carolina,37,20062,38989,48723,97670,37760
Mecklenburg,Virginia,51,20056,36261,49468,32274,12650
Macon,Missouri,29,20054,38443,50393,15545,6389
Ferry,Washington,53,20052,37571,42164,7623,2951
Morris,Texas,48,20045,37849,45989,12869,4949
Chattahoochee,Georgia,13,20042,48758,49808,12193,2613
McDonough,Illinois,17,20042,36031,54058,32549,12620
Conway,Arkansas,5,20040,35225,46002,21235,8154
Arenac,Michigan,26,20039,38874,45479,15753,6363
Dade,Missouri,29,20034,35483,44175,7734,3175
Clark,Idaho,16,20032,33200,33897,751,304
Switzerland,Indiana,18,20019,44143,48689,10534,4099
Rio Arriba,New Mexico,35,20014,40250,47363,40218,14783
Ashtabula,Ohio,39,20011,40516,50218,100835,38952
Muhlenberg,Kentucky,21,20008,38105,44874,31427,11869
Pierce,Georgia,13,20001,39067,47747,18774,6970
Giles,Tennessee,47,19998,38495,47011,29214,11766
Ford,Kansas,20,19994,51178,57380,34217,11103
McLean,Kentucky,21,19984,38833,47436,9524,3770
Thomas,Georgia,13,19983,34035,42835,44692,17377
Concho,Texas,48,19976,51411,58654,4070,857
Millard,Utah,49,19972,49238,59266,12543,4101
Catahoula,Louisiana,22,19970,36165,44627,10332,3767
Grant,Nebraska,31,19968,44167,45865,614,246
Johnston,Oklahoma,40,19967,36192,39876,10982,4248
Howard,Texas,48,19965,45612,58661,35297,11010
Webster,Missouri,29,19955,44596,50033,36274,12668
Branch,Michigan,26,19947,41856,50701,44398,15862
Madison,Georgia,13,19939,42549,50554,28044,9732
Lassen,California,6,19931,53107,65616,34018,9945
Wilson,Kansas,20,19929,38917,48174,9269,3791
Laurel,Kentucky,21,19923,36570,43075,59178,22931
Pope,Arkansas,5,19918,40453,47074,62248,22603
Montgomery,Illinois,17,19917,41952,54529,29878,11192
Love,Oklahoma,40,19910,43260,50761,9496,3378
Acadia,Louisiana,22,19910,37587,46159,61847,22527
Lewis,Idaho,16,19910,36000,48894,3851,1660
Madison,North Carolina,37,19902,38598,49806,20842,8207
Logan,West Virginia,54,19901,36999,47700,36442,14699
Martinsville City,Virginia,51,19900,28116,40875,13808,5995
Karnes,Texas,48,19899,42862,55603,14916,4497
Daviess,Missouri,29,19890,42393,51500,8347,3151
Saint Croix,U.S. Virgin Islands,#N/A,19883,36042,41959,50601,19765
Little River,Arkansas,5,19880,39673,48406,12992,5315
Otero,New Mexico,35,19880,39263,46828,64767,23945
Boundary,Idaho,16,19877,37003,44390,10866,4144
Webster,Louisiana,22,19871,35071,44436,41039,15980
Muskogee,Oklahoma,40,19868,38502,48251,70657,26802
Pulaski,Illinois,17,19867,33717,45764,6035,2419
Potter,Texas,48,19861,37951,46243,121526,42751
Mineral,Montana,30,19859,33033,45331,4219,1629
Wayne,Utah,49,19858,41458,48125,2760,970
Baker,Florida,12,19852,49236,58850,27069,8216
Henry,Virginia,51,19852,34984,43284,53451,22690
Franklin,Florida,12,19843,38328,48661,11554,4294
Washington County,Kentucky,21,19837,40845,48578,11774,4480
Randolph,Alabama,1,19830,35213,45076,22819,9013
Grant,Kentucky,21,19829,46159,51866,24685,8334
Hardeman,Texas,48,19829,36377,45750,4087,1745
Desha,Arkansas,5,19822,28680,39937,12774,5305
Sullivan,Indiana,18,19821,43510,55748,21321,7764
Craig,Oklahoma,40,19820,39236,50231,14869,5603
Greene,Tennessee,47,19801,35545,43400,68679,28677
Livingston,Kentucky,21,19795,40313,47075,9467,3569
Haralson,Georgia,13,19789,39993,49077,28594,10806
Lyon,Kansas,20,19789,38981,51106,33624,13170
Mineral,West Virginia,54,19788,31163,48910,28015,11180
Spalding,Georgia,13,19783,41534,50251,64011,22997
Houghton,Michigan,26,19783,35430,52409,36494,14029
Graham,North Carolina,37,19780,33903,39580,8762,3462
Starke,Indiana,18,19773,40126,46205,23267,8964
Christian,Kentucky,21,19773,38904,45583,74169,25899
Moore,Texas,48,19770,51181,53653,22029,6820
Ashley,Arkansas,5,19761,35683,45612,21645,8656
Lenoir,North Carolina,37,19760,35770,45306,59277,23569
Okmulgee,Oklahoma,40,19753,39156,48720,39747,15124
Dallam,Texas,48,19752,40895,44301,6854,2375
Coal,Oklahoma,40,19752,34867,44888,5927,2328
Barren,Kentucky,21,19745,38873,51272,42504,16584
McMinn,Tennessee,47,19744,39410,48576,52338,20313
Liberty,Texas,48,19740,47228,54581,76013,24844
Grant,Washington,53,19738,45949,52848,90202,30012
Powell,Montana,30,19736,40802,49342,7052,2411
Forrest,Mississippi,28,19736,36726,46827,75991,27822
Russell,Virginia,51,19735,33872,43459,28646,11191
Vernon,Missouri,29,19734,38679,48014,20990,7999
Yukon-Koyukuk Census Area,Alaska,2,19729,34710,46875,5656,2056
Saluda,South Carolina,45,19725,38514,44705,19895,7020
Alger,Michigan,26,19717,37586,46083,9497,3607
Benton,Missouri,29,19717,32951,42896,19008,8225
Perry,Illinois,17,19716,42078,53689,22182,7982
Pike,Alabama,1,19715,33090,46574,32977,12959
Emporia City,Virginia,51,19710,32155,41429,5773,2488
Pettis,Missouri,29,19709,38580,49064,42146,16212
Castro,Texas,48,19708,36402,40595,8046,2588
Lincoln,Colorado,8,19703,41910,51875,5442,1845
Burke,North Carolina,37,19701,37263,49127,90591,34664
Audrain,Missouri,29,19687,43013,53564,25584,9327
Russell,Alabama,1,19678,36143,42730,55544,21142
Miller,Georgia,13,19674,32260,41058,6054,2458
Caldwell,Texas,48,19673,44152,51289,38465,11593
Crittenden,Arkansas,5,19665,37751,48372,50447,18309
Montmorency,Michigan,26,19661,35261,42632,9598,4128
Greene,Arkansas,5,19652,38413,48011,42580,16603
Monroe,Tennessee,47,19643,37595,44907,44857,17523
Appling,Georgia,13,19643,36786,44610,18354,6934
Ogemaw,Michigan,26,19634,34619,42137,21537,8998
Hardin,Ohio,39,19626,40415,52144,31886,11504
Swain,North Carolina,37,19626,36094,51589,14017,5368
Danville City,Virginia,51,19626,30786,40768,42996,18659
Valencia,New Mexico,35,19623,42506,51686,76461,26894
Tyler,Texas,48,19612,39940,45162,21619,8224
LaRue,Kentucky,21,19611,39753,50559,14149,5221
Jefferson,Idaho,16,19598,52023,56195,26389,8058
Minidoka,Idaho,16,19597,43266,49733,20104,6994
Randolph,West Virginia,54,19595,37276,48547,29399,11163
Franklin City,Virginia,51,19588,31928,43780,8539,3551
Marshall,Oklahoma,40,19583,37319,47769,15860,5970
Cherokee,Kansas,20,19580,39746,51748,21361,7936
Marion,Alabama,1,19576,32888,41733,30615,12700
Lincoln,Mississippi,28,19566,36498,41572,34870,13045
Doña Ana,New Mexico,35,19565,37933,44518,211175,73797
Laclede,Missouri,29,19553,39013,43826,35535,13912
Rutherford,North Carolina,37,19551,36334,42636,67403,27214
Weakley,Tennessee,47,19547,35273,50628,34779,13797
Warren,Tennessee,47,19531,34641,43922,39861,15366
Grundy,Missouri,29,19527,37964,47000,10282,4148
Jones,Mississippi,28,19519,38074,43888,68174,24677
Mahnomen,Minnesota,27,19517,40282,47781,5475,2058
Polk,Missouri,29,19511,39512,49245,31088,11937
Alleghany,North Carolina,37,19510,35170,40767,11046,4793
Franklin,Washington,53,19503,55177,57710,81835,23445
Upshur,West Virginia,54,19498,39381,49740,24371,9011
Polk,Texas,48,19498,37855,45690,45620,16980
Whitfield,Georgia,13,19497,40471,45728,102556,34450
Wayne,West Virginia,54,19497,36964,46749,42007,16555
Chaves,New Mexico,35,19492,39131,48169,65627,23499
Barry,Missouri,29,19489,38710,47663,35614,13464
Alamosa,Colorado,8,19487,34520,49889,15933,5891
Chariton,Missouri,29,19481,39385,51356,7730,2958
Edmonson,Kentucky,21,19481,37646,47637,12148,4766
Sampson,North Carolina,37,19479,36496,43557,63687,23336
Crawford,Arkansas,5,19477,39479,46113,61796,23368
Fremont,Idaho,16,19475,44520,51964,13088,4549
Bollinger,Missouri,29,19470,37716,45273,12408,4758
Harrison,Missouri,29,19468,37739,44691,8871,3515
Union,Kentucky,21,19464,39125,45143,15138,5586
St. Helena,Louisiana,22,19457,33143,40590,11062,4130
Moniteau,Missouri,29,19451,47118,59253,15657,5464
Van Buren,Tennessee,47,19450,33547,41019,5562,2097
Johnson,Kentucky,21,19445,34090,41981,23377,9154
Simpson,Kentucky,21,19441,39546,47303,17443,6737
Columbia,Arkansas,5,19439,35128,47472,24512,9449
Scioto,Ohio,39,19437,35379,49280,78952,29452
Johnson,Nebraska,31,19435,42364,53932,5182,1926
Yakima,Washington,53,19433,43506,48946,244654,79679
Peach,Georgia,13,19431,39844,52500,27481,9525
Carroll,Kentucky,21,19429,40160,46281,10902,4269
Beaver,Utah,49,19415,46660,56184,6529,2112
Union,Louisiana,22,19412,35828,48125,22576,8532
Treutlen,Georgia,13,19410,37894,46282,6817,2515
Talladega,Alabama,1,19410,35439,43074,81845,31486
Brooks,Georgia,13,19409,34419,46973,15885,6573
Jackson,Ohio,39,19405,36356,44755,33034,13288
Meigs,Tennessee,47,19403,35150,47672,11706,4776
Putnam,Missouri,29,19397,36713,44309,4944,2230
Knox,Texas,48,19396,34295,45208,3731,1557
St. Landry,Louisiana,22,19387,35503,45574,83534,30935
Bradley,Arkansas,5,19386,30409,39659,11418,4789
Miller,Missouri,29,19385,35507,44911,24863,10034
Carroll,Virginia,51,19385,32853,43349,29979,12572
Perry,Ohio,39,19372,41446,48828,36051,13793
